UNITID-PK,AWLEVELC-PK,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSASIAT,CSASIAT,XCSBKAAT,CSBKAAT,XCSHISPT,CSHISPT,XCSNHPIT,CSNHPIT,XCSWHITT,CSWHITT,XCS2MORT,CS2MORT,XCSUNKNT,CSUNKNT,XCSNRALT,CSNRALT,XCSUND18,CSUND18,XCS18_24,CS18_24,XCS25_39,CS25_39,XCSABV40,CSABV40,XCSUNKN,CSUNKN  
100654,5,R,562,R,191,R,371,R,1,R,0,R,507,R,6,R,1,R,12,R,8,R,19,R,8,R,0,R,367,R,185,R,8,R,2
100654,7,R,251,R,71,R,180,R,1,R,1,R,168,R,0,R,0,R,12,R,3,R,58,R,8,R,0,R,13,R,203,R,31,R,4
100654,9,R,7,R,2,R,5,R,0,R,0,R,3,R,0,R,0,R,0,R,0,R,0,R,4,R,0,R,0,R,7,R,0,R,0
100654,10,R,1,R,0,R,1,R,0,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,0
100663,2,R,71,R,34,R,37,R,1,R,3,R,10,R,1,R,0,R,52,R,2,R,0,R,2,R,0,R,39,R,21,R,11,R,0
100663,5,R,2870,R,1047,R,1823,R,7,R,194,R,688,R,131,R,0,R,1630,R,131,R,13,R,76,R,0,R,2074,R,666,R,130,R,0
100663,7,R,2419,R,792,R,1627,R,7,R,108,R,376,R,60,R,0,R,1517,R,45,R,69,R,237,R,0,R,412,R,1640,R,367,R,0
100663,9,R,609,R,251,R,358,R,1,R,76,R,64,R,22,R,0,R,379,R,27,R,14,R,26,R,0,R,6,R,535,R,68,R,0
100663,10,R,228,R,34,R,194,R,0,R,12,R,48,R,6,R,0,R,134,R,6,R,3,R,19,R,0,R,12,R,141,R,75,R,0
100690,3,R,47,R,9,R,38,R,1,Z,0,R,36,R,1,Z,0,R,8,Z,0,R,1,Z,0,Z,0,R,2,R,30,R,15,Z,0
100690,5,R,51,R,20,R,31,Z,0,Z,0,R,25,Z,0,Z,0,R,24,Z,0,R,2,Z,0,Z,0,R,7,R,23,R,21,Z,0
100690,7,R,107,R,46,R,61,Z,0,R,1,R,54,R,3,Z,0,R,47,Z,0,R,2,Z,0,Z,0,R,3,R,48,R,56,Z,0
100690,9,R,12,R,8,R,4,Z,0,Z,0,R,4,Z,0,Z,0,R,7,Z,0,R,1,Z,0,Z,0,Z,0,R,2,R,10,Z,0
100706,5,R,1604,R,883,R,721,R,20,R,66,R,135,R,75,R,1,R,1224,R,32,R,20,R,31,R,0,R,1183,R,357,R,64,R,0
100706,7,R,516,R,224,R,292,R,3,R,22,R,34,R,9,R,1,R,369,R,4,R,33,R,41,R,0,R,91,R,338,R,87,R,0
100706,9,R,77,R,33,R,44,R,1,R,5,R,8,R,2,R,0,R,33,R,1,R,5,R,22,R,0,R,0,R,47,R,30,R,0
100706,10,R,42,R,17,R,25,R,0,R,2,R,6,R,1,R,0,R,23,R,1,R,6,R,3,R,0,R,12,R,15,R,15,R,0
100706,12,R,13,R,5,R,8,R,0,R,1,R,1,R,1,R,0,R,10,R,0,R,0,R,0,R,0,R,12,R,1,R,0,R,0
100724,5,R,509,R,171,R,338,R,0,R,4,R,458,R,7,R,1,R,14,R,6,R,10,R,9,R,1,R,375,R,119,R,14,Z,0
100724,7,R,105,R,28,R,77,R,0,R,0,R,76,R,2,R,0,R,24,R,2,R,1,R,0,R,0,R,15,R,72,R,18,R,0
100724,9,R,38,R,17,R,21,R,0,R,1,R,18,R,1,R,0,R,16,R,1,R,0,R,1,R,0,R,0,R,30,R,8,R,0
100751,5,R,7278,R,3032,R,4246,R,21,R,78,R,622,R,364,R,8,R,5746,R,252,R,34,R,153,R,0,R,6420,R,685,R,173,R,0
100751,7,R,1840,R,684,R,1156,R,4,R,25,R,190,R,71,R,1,R,1404,R,54,R,18,R,73,R,0,R,925,R,712,R,202,R,1
100751,9,R,364,R,175,R,189,R,1,R,6,R,41,R,15,R,0,R,222,R,8,R,8,R,63,R,0,R,33,R,272,R,59,R,0
100751,10,R,26,R,5,R,21,R,0,R,0,R,8,R,1,R,0,R,16,R,1,R,0,R,0,R,0,R,0,R,17,R,9,R,0
100760,2,R,70,R,13,R,57,R,0,R,0,R,4,R,2,R,0,R,63,R,0,R,0,R,1,R,0,R,35,R,31,R,4,R,0
100760,3,R,188,R,76,R,112,R,1,R,1,R,38,R,5,R,0,R,137,R,4,R,1,R,1,R,0,R,118,R,59,R,11,R,0
100760,12,R,56,R,24,R,32,R,0,R,0,R,9,R,2,R,0,R,44,R,0,R,0,R,1,R,0,R,38,R,14,R,4,R,0
100812,5,R,719,R,225,R,494,R,8,R,9,R,89,R,23,R,2,R,562,R,10,R,16,Z,0,Z,0,R,266,R,326,R,127,Z,0
100812,7,R,78,R,32,R,46,Z,0,Z,0,R,22,Z,0,Z,0,R,50,R,6,Z,0,Z,0,Z,0,R,3,R,36,R,39,Z,0
100812,12,R,29,R,8,R,21,Z,0,Z,0,R,8,R,1,Z,0,R,19,Z,0,R,1,Z,0,Z,0,R,3,R,14,R,12,Z,0
