UNITID,CAMPUSID,PCINSTNM,PCADDR,PCCITY,PCSTABBR,PCZIP,PCFIPS,PCOBEREG,PCCHFNM,PCCHFTITLE,PCGENTELE,PCEIN,PCDUNS,PCOPEID,PCOPEFLAG,OLDUNITID,PCWEBADDR,PCADMINURL,PCFAIDURL,PCAPPLURL,PCNPRICURL,PCVETURL,PCATHURL,PCDISAURL,PCSECTOR,PCICLEVEL,PCCONTROL,PCHLOFFER,PCUGOFFER,PCGROFFER,PCHDEGOFR1,PCDEGGRANT,PCHBCU,PCTRIBAL,PCLOCALE,PCOPENPUBL,PCACT,PCCYACTIVE,PCPOSTSEC,PCPSEFLAG,PCPSET4FLG,PCCBSA,PCCBSATYPE,PCCSA,PCNECTA,PCCOUNTYCD,PCCOUNTYNM,PCCNGDSTCD,PCLONGITUD,PCLATITUDE,PCLEVEL1,PCLEVEL1A,PCLEVEL1B,PCLEVEL2,PCLEVEL3,PCLEVEL4,PCLEVEL5,PCLEVEL6,PCLEVEL7,PCLEVEL8,PCLEVEL17,PCLEVEL18,PCLEVEL19,PCFT_FTUG,PCALLONCAM,XPCAPPLFEE,PCAPPLFEEU,PCROOM,XPCCHG1AT0,PCCHG1AT0,XPCCHG1AF0,PCCHG1AF0,XPCCHG1AY0,PCCHG1AY0,XPCCHG1AT1,PCCHG1AT1,XPCCHG1AF1,PCCHG1AF1,XPCCHG1AY1,PCCHG1AY1,XPCCHG1AT2,PCCHG1AT2,XPCCHG1AF2,PCCHG1AF2,XPCCHG1AY2,PCCHG1AY2,XPCCHG1AT3,PCCHG1AT3,XPCCHG1AF3,PCCHG1AF3,XPCCHG1AY3,PCCHG1AY3,PCCHG1TGTD,PCCHG1FGTD,XPCCHG2AT0,PCCHG2AT0,XPCCHG2AF0,PCCHG2AF0,XPCCHG2AY0,PCCHG2AY0,XPCCHG2AT1,PCCHG2AT1,XPCCHG2AF1,PCCHG2AF1,XPCCHG2AY1,PCCHG2AY1,XPCCHG2AT2,PCCHG2AT2,XPCCHG2AF2,PCCHG2AF2,XPCCHG2AY2,PCCHG2AY2,XPCCHG2AT3,PCCHG2AT3,XPCCHG2AF3,PCCHG2AF3,XPCCHG2AY3,PCCHG2AY3,PCCHG2TGTD,PCCHG2FGTD,XPCCHG3AT0,PCCHG3AT0,XPCCHG3AF0,PCCHG3AF0,XPCCHG3AY0,PCCHG3AY0,XPCCHG3AT1,PCCHG3AT1,XPCCHG3AF1,PCCHG3AF1,XPCCHG3AY1,PCCHG3AY1,XPCCHG3AT2,PCCHG3AT2,XPCCHG3AF2,PCCHG3AF2,XPCCHG3AY2,PCCHG3AY2,XPCCHG3AT3,PCCHG3AT3,XPCCHG3AF3,PCCHG3AF3,XPCCHG3AY3,PCCHG3AY3,PCCHG3TGTD,PCCHG3FGTD,XPCCHG4AY0,PCCHG4AY0,XPCCHG4AY1,PCCHG4AY1,XPCCHG4AY2,PCCHG4AY2,XPCCHG4AY3,PCCHG4AY3,XPCCHG5AY0,PCCHG5AY0,XPCCHG5AY1,PCCHG5AY1,XPCCHG5AY2,PCCHG5AY2,XPCCHG5AY3,PCCHG5AY3,XPCCHG6AY0,PCCHG6AY0,XPCCHG6AY1,PCCHG6AY1,XPCCHG6AY2,PCCHG6AY2,XPCCHG6AY3,PCCHG6AY3,XPCCHG7AY0,PCCHG7AY0,XPCCHG7AY1,PCCHG7AY1,XPCCHG7AY2,PCCHG7AY2,XPCCHG7AY3,PCCHG7AY3,XPCCHG8AY0,PCCHG8AY0,XPCCHG8AY1,PCCHG8AY1,XPCCHG8AY2,PCCHG8AY2,XPCCHG8AY3,PCCHG8AY3,XPCCHG9AY0,PCCHG9AY0,XPCCHG9AY1,PCCHG9AY1,XPCCHG9AY2,PCCHG9AY2,XPCCHG9AY3,PCCHG9AY3,PCCIPCODE1,XPCCIPLGT1,PCCIPLGTH1,PCPRGMSR1,XPCMTHCMP1,PCMTHCMP1,XPCWKCMP1,PCWKCMP1,XPCLNAYHR1,PCLNAYHR1,XPCLNAYWK1,PCLNAYWK1,XPCCHG1PY0,PCCHG1PY0,XPCCHG1PY1,PCCHG1PY1,XPCCHG1PY2,PCCHG1PY2,XPCCHG1PY3,PCCHG1PY3,XPCCHG4PY0,PCCHG4PY0,XPCCHG4PY1,PCCHG4PY1,XPCCHG4PY2,PCCHG4PY2,XPCCHG4PY3,PCCHG4PY3,XPCCHG5PY0,PCCHG5PY0,XPCCHG5PY1,PCCHG5PY1,XPCCHG5PY2,PCCHG5PY2,XPCCHG5PY3,PCCHG5PY3,XPCCHG6PY0,PCCHG6PY0,XPCCHG6PY1,PCCHG6PY1,XPCCHG6PY2,PCCHG6PY2,XPCCHG6PY3,PCCHG6PY3,XPCCHG7PY0,PCCHG7PY0,XPCCHG7PY1,PCCHG7PY1,XPCCHG7PY2,PCCHG7PY2,XPCCHG7PY3,PCCHG7PY3,XPCCHG8PY0,PCCHG8PY0,XPCCHG8PY1,PCCHG8PY1,XPCCHG8PY2,PCCHG8PY2,XPCCHG8PY3,PCCHG8PY3,XPCCHG9PY0,PCCHG9PY0,XPCCHG9PY1,PCCHG9PY1,XPCCHG9PY2,PCCHG9PY2,XPCCHG9PY3,PCCHG9PY3
102368,1,Troy University-Phenix City Campus,1510 Whitewater Avenue,Phenix City,AL,36869-4419,1,5,Dr. Dionne Rosser-Mims,Interim Vice Chancellor,3344485100,636001102,72090939,104703,1,102331,www.troy.edu/about-us/phenix-city-campus/index.html,www.troy.edu/applications-admissions/index.html,www.troy.edu/scholarships-costs-aid/financial-aid/index.html,www.troy.edu/applications-admissions/index.html,www.troy.edu/net-price-calculator/index.html,www.troy.edu/military-veterans/,www.troy.edu/about-us/offices-departments/institutional-research-planning-effectiveness/fact-site/graduation-reports.html,www.troy.edu/student-disability-services/index.html,1,1,1,8,1,1,20,1,2,2,21,1,A ,1,1,1,1,17980,1,194,-2,1113,Russell County,103,-84.997001,32.474218,0,0,0,0,1,0,1,1,1,1,0,0,0,1,2,R,30,2,R,7800,R,1108,R,8908,R,7800,R,1108,R,8908,R,7800,R,1108,R,8908,R,9312,R,0,R,9312,.,.,R,7800,R,1108,R,8908,R,7800,R,1108,R,8908,R,7800,R,1108,R,8908,R,9312,R,0,R,9312,.,.,R,15600,R,1108,R,16708,R,16500,R,1108,R,17608,R,15600,R,1108,R,16708,R,18624,R,0,R,18624,.,.,R,1138,R,1300,R,1300,R,1300,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,6008,R,7586,R,7586,R,10342,R,5474,R,6766,R,6766,R,4766,R,5474,R,6766,R,6766,R,4766,-2,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
102368,2,Troy University-Montgomery Campus,231 Montgomery Street,Montgomery,AL,36103-4419,1,5,Mr. G. Ray White,Vice Chancellor,3342419537,636001102,72090939,104755,1,102359,www.troy.edu/about-us/montgomery-campus/index.html,www.troy.edu/applications-admissions/index.html,www.troy.edu/scholarships-costs-aid/financial-aid/index.html,www.troy.edu/applications-admissions/index.html,www.troy.edu/net-price-calculator/index.html,www.troy.edu/military-veterans/,www.troy.edu/about-us/offices-departments/institutional-research-planning-effectiveness/fact-site/graduation-reports.html,www.troy.edu/student-disability-services/index.html,1,1,1,8,1,1,20,1,2,2,12,1,A ,1,1,1,1,33860,1,388,-2,1101,Montgomery County,102,-86.310895,32.376305,0,0,0,0,1,0,1,1,1,1,0,0,0,1,2,R,30,2,R,7800,R,1108,R,8908,R,7800,R,1108,R,8908,R,7800,R,1108,R,8908,R,9312,R,0,R,9312,.,.,R,7800,R,1108,R,8908,R,7800,R,1108,R,8908,R,7800,R,1108,R,8908,R,9312,R,0,R,9312,.,.,R,15600,R,1108,R,16708,R,15600,R,1108,R,16708,R,15600,R,1108,R,16708,R,18624,R,0,R,18624,.,.,R,1138,R,1300,R,1300,R,1300,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,6008,R,7586,R,7586,R,10342,R,17762,R,19992,R,19992,R,15108,R,5474,R,6766,R,6766,R,4766,-2,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
102368,3,Troy University-Dothan Campus,500 University Drive,Dothan,AL,36303-4419,1,5,Dr. Don Jeffrey,Vice Chancellor,3349836556,636001102,72090939,104754,1,102322,www.troy.edu/about-us/dothan-campus/index.html,www.troy.edu/applications-admissions/index.html,www.troy.edu/scholarships-costs-aid/financial-aid/index.html,www.troy.edu/applications-admissions/index.html,www.troy.edu/net-price-calculator/index.html,www.troy.edu/military-veterans/,www.troy.edu/about-us/offices-departments/institutional-research-planning-effectiveness/fact-site/graduation-reports.html,www.troy.edu/student-disability-services/index.html,1,1,1,8,1,1,20,1,2,2,41,1,A ,1,1,1,1,20020,1,222,-2,1069,Houston County,102,-85.470866,31.280632,0,0,0,0,1,0,1,1,1,1,0,0,0,1,2,R,30,2,R,7800,R,1108,R,8908,R,7800,R,1108,R,8908,R,7800,R,1108,R,8908,R,9312,R,0,R,9312,.,.,R,7800,R,1108,R,8908,R,7800,R,1108,R,8908,R,7800,R,1108,R,8908,R,9312,R,0,R,9312,.,.,R,15600,R,1108,R,16708,R,15600,R,1108,R,16708,R,15600,R,1108,R,16708,R,18624,R,0,R,18624,.,.,R,1138,R,1300,R,1300,R,1300,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,6008,R,7586,R,7586,R,10342,R,5474,R,6766,R,6766,R,4766,R,5474,R,6766,R,6766,R,4766,-2,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
102368,8,Troy University-Online,241 Adams Administration Building,Troy,AL,36082-5327,1,5,Dr. James Bookout,Senior VC for Financial Affairs & Online Education,3346703108,636001102,72090939,104700,2,447573,www.troy.edu/online/,www.troy.edu/applications-admissions/index.html,www.troy.edu/scholarships-costs-aid/financial-aid/index.html,www.troy.edu/applications-admissions/index.html,www.troy.edu/net-price-calculator/index.html,www.troy.edu/military-veterans/,www.troy.edu/about-us/offices-departments/institutional-research-planning-effectiveness/fact-site/graduation-reports.html,www.troy.edu/student-disability-services/index.html,1,1,1,9,1,1,11,1,2,2,33,1,A ,1,1,1,1,45980,2,-2,-2,1109,Pike County,102,-85.95802,31.799583,1,0,1,0,1,0,1,1,1,1,1,1,0,1,2,R,30,2,R,8112,R,0,R,8112,R,8112,R,0,R,8112,R,8112,R,0,R,8112,R,9312,R,0,R,9312,.,.,R,8112,R,0,R,8112,R,8112,R,0,R,8112,R,8112,R,0,R,8112,R,9312,R,0,R,9312,.,.,R,8112,R,0,R,8112,R,8112,R,0,R,8112,R,8112,R,0,R,8112,R,9312,R,0,R,9312,.,.,R,1138,R,1300,R,1300,R,1300,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,6700,R,7586,R,7586,R,10342,R,20572,R,20572,R,20572,R,15108,R,20572,R,20572,R,20572,R,15108,-2,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
102368,9,Troy University-Support Sites,100 University Park,Troy,AL,36082-5327,1,5,Ms. Alicia Bookout,"Senior Director, Enrollment Services",3346703243,636001102,72090939,104700,2,480213,www.troy.edu/about-us/troy-support-centers/,www.troy.edu/applications-admissions/index.html,www.troy.edu/scholarships-costs-aid/financial-aid/index.html,www.troy.edu/applications-admissions/index.html,www.troy.edu/net-price-calculator/index.html,www.troy.edu/military-veterans/,www.troy.edu/about-us/offices-departments/institutional-research-planning-effectiveness/fact-site/graduation-reports.html,www.troy.edu/student-disability-services/index.html,1,1,1,8,1,1,20,1,2,2,33,1,A ,1,1,1,1,45980,2,-2,-2,1109,Pike County,102,-85.95802,31.799583,0,0,0,0,1,0,1,1,1,1,0,0,0,1,2,R,30,2,R,6000,R,0,R,6000,R,6000,R,0,R,6000,R,6000,R,0,R,6000,R,9312,R,0,R,9312,.,.,R,6000,R,0,R,6000,R,6000,R,0,R,6000,R,6000,R,0,R,6000,R,9312,R,0,R,9312,.,.,R,6000,R,0,R,6000,R,6000,R,0,R,6000,R,6000,R,0,R,6000,R,9312,R,0,R,9312,.,.,R,1138,R,1300,R,1300,R,1300,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,6008,R,7586,R,7586,R,10342,R,20572,R,20572,R,20572,R,15108,R,20572,R,20572,R,20572,R,15108,-2,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
104151,1,Arizona State University-West,4701 W Thunderbird Road,Glendale,AZ,85306,4,6,Michael M. Crow,President,8552785080,860196696,623088747,108101,1,407009,www.asu.edu/,https://admission.asu.edu/contact,https://students.asu.edu/contact/financialaid,https://webapp4.asu.edu/uga_admissionsapp/,https://students.asu.edu/financialaid/net-price,https://veterans.asu.edu/benefits/start,www.ncaa.org/about/resources/research/graduation-rates,https://eoss.asu.edu/accessibility,1,1,1,9,1,1,12,1,2,2,11,1,A ,1,1,1,1,38060,1,429,-2,4013,Maricopa County,408,-112.160021,33.60726,1,0,1,1,0,0,1,1,1,0,1,0,0,1,2,R,50,1,R,9122,R,718,R,9840,R,9640,R,628,R,10268,R,10710,R,628,R,11338,R,10710,R,638,R,11348,.,.,R,9122,R,718,R,9840,R,9640,R,628,R,10268,R,10710,R,628,R,11338,R,10710,R,638,R,11348,.,.,R,24858,R,718,R,25576,R,25920,R,628,R,26548,R,28800,R,628,R,29428,R,28800,R,638,R,29438,.,.,R,1148,R,1171,R,1300,R,1300,R,11588,R,11914,R,12364,R,12732,R,3430,R,3430,R,3430,R,3430,R,9684,R,9684,R,9684,R,9974,R,4412,R,4412,R,4412,R,4412,R,4412,R,4412,R,4412,R,4412,-2,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
104151,2,Arizona State University-Polytechnic,7001 E Williams Field Road,Mesa,AZ,85212,4,6,Michael M. Crow,President,8552785080,860196696,623088747,108102,1,420574,www.asu.edu/,https://admission.asu.edu/contact,https://students.asu.edu/contact/financialaid,https://webapp4.asu.edu/uga_admissionsapp/,https://students.asu.edu/financialaid/net-price,https://veterans.asu.edu/benefits/start,www.ncaa.org/about/resources/research/graduation-rates,https://eoss.asu.edu/accessibility,1,1,1,9,1,1,12,1,2,2,11,1,A ,1,1,1,1,38060,1,429,-2,4013,Maricopa County,405,-111.677225,33.307142,1,0,1,1,0,0,1,1,1,0,1,0,0,1,2,R,50,1,R,9122,R,718,R,9840,R,9640,R,628,R,10268,R,10710,R,628,R,11338,R,10710,R,638,R,11348,.,.,R,9122,R,718,R,9840,R,9640,R,628,R,10268,R,10710,R,628,R,11338,R,10710,R,638,R,11348,.,.,R,24858,R,718,R,25576,R,25920,R,628,R,26548,R,28800,R,628,R,29428,R,28800,R,638,R,29438,.,.,R,1148,R,1171,R,1300,R,1300,R,11683,R,12728,R,13702,R,14408,R,3430,R,3430,R,3430,R,3430,R,9684,R,9684,R,9684,R,9974,R,4412,R,4412,R,4412,R,4412,R,4412,R,4412,R,4412,R,4412,-2,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
104151,3,Arizona State University-Downtown Phoenix,411 N Central Ave,Phoenix,AZ,85004,4,6,Michael M. Crow,President,8552785080,860196696,623088747,108103,1,448886,www.asu.edu/,https://admission.asu.edu/contact,https://students.asu.edu/contact/financialaid,https://webapp4.asu.edu/uga_admissionsapp/,https://students.asu.edu/financialaid/net-price,https://veterans.asu.edu/benefits/start,www.ncaa.org/about/resources/research/graduation-rates,https://eoss.asu.edu/accessibility,1,1,1,9,1,1,11,1,2,2,11,1,A ,1,1,1,1,38060,1,429,-2,4013,Maricopa County,407,-112.07347,33.452914,1,0,1,1,0,0,1,1,1,1,1,1,0,1,2,R,50,1,R,10104,R,718,R,10822,R,10710,R,628,R,11338,R,10710,R,628,R,11338,R,10710,R,638,R,11348,.,.,R,10104,R,718,R,10822,R,10710,R,628,R,11338,R,10710,R,628,R,11338,R,10710,R,638,R,11348,.,.,R,27618,R,718,R,28336,R,28800,R,628,R,29428,R,28800,R,628,R,29428,R,28800,R,638,R,29438,.,.,R,1148,R,1171,R,1300,R,1300,R,14584,R,14924,R,15278,R,15604,R,3430,R,3430,R,3430,R,3430,R,9684,R,9684,R,9684,R,9974,R,4412,R,4412,R,4412,R,4412,R,4412,R,4412,R,4412,R,4412,-2,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
104151,4,Arizona State University - Tucson,340 North Commerce Park Loop,Tucson,AZ,85745-4284,4,6,Michael M. Crow,President,8552785080,860196696,623088747,108131,1,491312,www.asu.edu/,https://admission.asu.edu/contact,https://students.asu.edu/contact/financialaid,https://webapp4.asu.edu/uga_admissionsapp/,https://students.asu.edu/financialaid/net-price,https://veterans.asu.edu/benefits/start,www.ncaa.org/about/resources/research/graduation-rates,https://eoss.asu.edu/accessibility,1,1,1,7,1,1,20,1,2,2,11,1,A ,1,1,1,1,46060,1,536,-2,4019,Pima County,403,-110.983661,32.225916,0,0,0,0,0,0,1,0,1,0,0,0,0,2,-2,C,50,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
104151,5,Arizona State University - Lake Havasu,100 University Way,Lake Havasu City,AZ,86403-6877,4,6,Michael M. Crow,President,8552785080,860196696,623088747,108161,1,491321,www.asu.edu/,https://admission.asu.edu/contact,https://students.asu.edu/contact/financialaid,https://webapp4.asu.edu/uga_admissionsapp/,https://students.asu.edu/financialaid/net-price,https://veterans.asu.edu/benefits/start,www.ncaa.org/about/resources/research/graduation-rates,https://eoss.asu.edu/accessibility,1,1,1,5,1,2,30,1,2,2,13,1,A ,1,1,1,1,29420,1,-2,-2,4015,Mohave County,404,-114.321596,34.472768,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,R,50,1,R,6646,R,258,R,6904,R,6426,R,168,R,6594,R,6426,R,168,R,6594,R,6426,R,178,R,6604,.,.,R,6646,R,258,R,6904,R,6426,R,168,R,6594,R,6426,R,168,R,6594,R,6426,R,178,R,6604,.,.,R,9848,R,258,R,10106,R,10368,R,168,R,10536,R,10368,R,168,R,10536,R,10368,R,178,R,10546,.,.,R,1148,R,1171,R,1300,R,1300,R,11252,R,11530,R,11742,R,12062,R,3430,R,3430,R,3430,R,3430,R,9684,R,9684,R,9684,R,9974,R,4412,R,4412,R,4412,R,4412,R,4412,R,4412,R,4412,R,4412,-2,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
